loans_taken,district,region,nr_of_inhabitants,nr_of_entrepreneurs,total_loans_taken,average_loan_amount,customer_status
1,Rychnov nad Kneznou,east Bohemia,78955,124,137880.0,137880.0,bad
5,Rychnov nad Kneznou,east Bohemia,78955,124,616164.0,123233.0,good
3,Semily,east Bohemia,75685,155,276180.0,92060.0,good
1,Sokolov,west Bohemia,94812,100,96396.0,96396.0,bad
1,Sokolov,west Bohemia,94812,100,52128.0,52128.0,good
3,Strakonice,south Bohemia,70646,120,640020.0,213340.0,bad
3,Strakonice,south Bohemia,70646,120,584472.0,194824.0,good
5,Sumperk,north Moravia,127369,107,829644.0,165929.0,good
3,Svitavy,east Bohemia,102609,94,522564.0,174188.0,bad
9,Svitavy,east Bohemia,102609,94,1577520.0,175280.0,good
2,Tabor,south Bohemia,103347,123,60552.0,30276.0,bad
5,Tabor,south Bohemia,103347,123,904392.0,180878.0,good
2,Tachov,west Bohemia,51313,108,236460.0,118230.0,bad
6,Tachov,west Bohemia,51313,108,723324.0,120554.0,good
6,Teplice,north Bohemia,128118,97,872748.0,145458.0,good
1,Trebic,south Moravia,117897,107,51360.0,51360.0,bad
5,Trebic,south Moravia,117897,107,578640.0,115728.0,good
6,Trutnov,east Bohemia,121947,131,1076580.0,179430.0,good
10,Uherske Hradiste,south Moravia,145688,109,1682040.0,168204.0,good
3,Usti nad Labem,north Bohemia,118650,114,347484.0,115828.0,good
1,Usti nad Orlici,east Bohemia,139012,108,290700.0,290700.0,bad
13,Usti nad Orlici,east Bohemia,139012,108,1922460.0,147882.0,good
6,Vsetin,north Moravia,148545,113,490980.0,81830.0,good
7,Vyskov,south Moravia,86513,110,777192.0,111027.0,good
7,Zdar nad Sazavou,south Moravia,125832,102,1326540.0,189506.0,good
1,Zlin,south Moravia,197099,145,293880.0,293880.0,bad
1,Znojmo,south Moravia,114200,105,187224.0,187224.0,bad
5,Znojmo,south Moravia,114200,105,757152.0,151430.0,good
