,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
175,"Limos, Demos And Bimbos",0.818,0.731,7,-6.572,1,0.285,0.00634,2.02e-06,0.344,0.671,87.031,230760,8
176,Once Upon A Time In The Projects 2,0.848,0.588,10,-9.511,0,0.363,0.0448,0.0,0.111,0.636,83.262,184733,1
177,If I Was Fuckin' You,0.776,0.57,8,-9.552,0,0.345,0.0438,2.53e-06,0.309,0.407,93.936,208160,1
178,X-Bitches,0.882,0.649,1,-8.855,1,0.242,0.00315,0.0,0.1,0.673,84.861,298907,34
179,Extradition,0.896,0.712,9,-7.624,0,0.338,0.0276,6.18e-06,0.624,0.641,87.149,283867,24
180,3 Strikes You In,0.888,0.711,1,-5.705,1,0.258,0.0163,0.0,0.114,0.556,89.845,268000,34
181,Penitentiary,0.827,0.78,10,-8.026,0,0.267,0.152,0.0,0.0561,0.632,87.869,252427,27
182,Ask About Me,0.845,0.826,7,-6.151,1,0.302,0.0312,0.0,0.0788,0.56,93.91,184733,38
183,Pushin' Weight,0.826,0.836,10,-4.252,0,0.221,0.00398,0.0,0.108,0.556,91.788,274600,27
184,Dr. Frankenstein,0.724,0.898,2,-4.827,1,0.43,0.0513,1.29e-06,0.305,0.371,90.912,294011,31
185,Fuck Dying,0.737,0.733,7,-6.41,1,0.231,0.138,0.000898,0.319,0.357,92.966,243507,26
186,War And Peace,0.593,0.653,1,-8.534,1,0.521,0.166,0.0,0.112,0.568,81.469,197893,31
187,Ghetto Vet,0.627,0.781,2,-8.207,1,0.365,0.105,0.0,0.154,0.51,178.65,304733,16
188,Greed,0.813,0.764,6,-6.906,0,0.292,0.171,0.0,0.151,0.543,93.027,268707,25
189,MP,0.738,0.117,9,-22.319,1,0.953,0.825,0.0,0.103,0.316,103.199,49333,20
190,Cash Over Ass,0.717,0.792,10,-7.245,0,0.202,0.0393,0.0,0.731,0.653,96.957,261360,24
191,The Curse Of Money,0.765,0.847,11,-8.124,1,0.173,0.00143,0.0,0.0498,0.644,90.858,219333,38
192,The Peckin' Order,0.792,0.655,11,-9.259,1,0.232,0.0969,0.00468,0.116,0.458,89.059,200640,8
193,"Limos, Demos And Bimbos",0.825,0.745,7,-6.378,1,0.332,0.00712,1.84e-06,0.337,0.626,87.095,230800,8
194,Once Upon A Time In The Projects 2,0.808,0.587,10,-9.289,0,0.297,0.0468,0.0,0.124,0.698,83.272,184733,1
195,If I Was Fuckin' You,0.695,0.58,8,-9.341,0,0.35,0.0476,3.28e-06,0.324,0.422,93.805,208160,1
196,X-Bitches,0.883,0.655,1,-8.68,1,0.319,0.00287,0.0,0.11,0.592,84.855,298907,34
197,Extradition,0.89,0.728,9,-7.448,0,0.31,0.0259,6.58e-06,0.615,0.642,87.091,283867,24
198,3 Strikes You In,0.834,0.708,1,-5.468,1,0.291,0.0159,0.0,0.0884,0.584,89.757,268000,34
199,Penitentiary,0.823,0.783,10,-7.773,0,0.238,0.145,0.0,0.049,0.621,87.791,252427,27
200,The Shot - Remastered,0.516,0.122,10,-32.723,1,0.864,0.493,0.0,0.532,0.696,108.166,54667,20
201,Really Doe - Remastered,0.773,0.737,8,-8.314,1,0.146,0.00993,0.0234,0.295,0.691,96.909,268160,38
202,Ghetto Bird - Remastered,0.764,0.803,10,-8.697,0,0.164,0.00246,0.0184,0.386,0.423,92.063,231000,11
203,You Know How We Do It,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,1
204,Cave Bitch - Remastered,0.863,0.661,4,-9.226,0,0.169,0.00257,0.108,0.0856,0.512,96.147,257867,18
205,Bop Gun (One Nation) - Remastered,0.845,0.663,6,-8.756,1,0.0508,0.257,0.00079,0.243,0.752,103.053,665160,29
206,What Can I Do? - Remastered,0.843,0.539,6,-10.882,0,0.253,0.051,0.0,0.435,0.327,97.955,290307,1
207,Lil Ass Gee - Remastered,0.769,0.806,7,-9.006,1,0.337,0.254,5.38e-06,0.88,0.483,90.592,244827,7
208,"Make It Ruff, Make It Smooth - Remastered",0.712,0.713,1,-11.771,0,0.344,0.334,2.08e-05,0.101,0.666,178.034,263507,2
209,Down For Whatever - Remastered,0.642,0.613,1,-12.539,1,0.0602,0.0877,0.0124,0.0758,0.406,149.758,279827,5
210,Enemy - Remastered,0.823,0.677,1,-6.302,1,0.0692,0.0941,0.0479,0.0958,0.677,91.879,290307,34
211,When I Get To Heaven - Remastered,0.751,0.455,11,-13.089,0,0.181,0.0236,0.289,0.532,0.434,171.237,300760,12
212,The Shot,0.586,0.25,6,-26.985,1,0.901,0.304,0.0,0.43,0.653,70.412,54893,20
213,Really Doe,0.787,0.744,8,-7.381,1,0.145,0.00318,0.000154,0.418,0.675,96.979,265773,38
214,Ghetto Bird,0.686,0.706,10,-8.268,0,0.224,0.00447,2.97e-05,0.377,0.466,183.664,230992,9
215,You Know How We Do It,0.784,0.566,10,-8.641,0,0.0383,0.0243,0.00425,0.143,0.504,92.788,227463,1
216,Cave Bitch,0.83,0.857,4,-5.85,0,0.106,0.000387,0.0841,0.0644,0.614,96.139,258067,25
217,Bop Gun (One Nation),0.843,0.677,6,-9.4,1,0.0533,0.0886,0.000238,0.263,0.77,103.182,665827,29
218,What Can I Do?,0.849,0.641,6,-8.224,0,0.275,0.00307,0.0,0.545,0.341,97.969,291040,24
219,Lil Ass Gee,0.703,0.913,7,-5.521,1,0.322,0.0202,0.0,0.708,0.563,90.565,228438,7
220,"Make It Ruff, Make It Smooth",0.84,0.859,8,-7.582,0,0.252,0.0939,0.0,0.0657,0.665,89.057,256733,27
221,Down For Whatever,0.684,0.698,1,-9.811,1,0.0724,0.0155,1.89e-06,0.0838,0.416,149.967,279893,5
222,Enemy,0.848,0.815,1,-5.557,1,0.229,0.0645,1.56e-05,0.546,0.713,91.969,321533,7
223,When I Get To Heaven,0.735,0.516,11,-8.719,0,0.0894,0.00111,0.0324,0.205,0.455,171.271,272133,9
224,What Can I Do? - Westside Remix,0.863,0.807,2,-6.391,1,0.214,0.00257,3.37e-06,0.383,0.485,96.069,267133,34
225,What Can I Do? - Remix,0.908,0.574,2,-12.034,1,0.249,0.208,5.35e-06,0.0524,0.649,98.115,286560,8
226,You Know How We Do It - Remix,0.916,0.542,5,-7.909,0,0.0623,0.114,0.00601,0.356,0.841,93.017,263440,18
227,Lil Ass Gee - Remix,0.664,0.846,11,-5.573,1,0.281,0.0238,0.0,0.335,0.49,90.659,318800,26
228,The First Day Of School (Intro),0.431,0.576,5,-15.378,1,0.496,0.404,0.0,0.223,0.256,91.651,79973,0
229,When Will They Shoot?,0.739,0.934,0,-3.33,1,0.134,0.0619,0.0,0.366,0.735,95.645,276160,34
230,I'm Scared (Insert),0.737,0.74,11,-8.103,0,0.309,0.164,0.0,0.387,0.43,94.704,92133,1
231,Wicked,0.803,0.972,10,-4.848,0,0.156,0.192,0.0,0.102,0.627,106.938,235707,27
