Customer,ST,GENDER,Customer Lifetime Value,Income,Monthly Premium Auto,Policy Type,Vehicle Class,Total Claim Amount
AZ82578,California,F,7928829300.0,0.0,72.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,5011751600.0,28859.0,67.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,7988258300.0,77330.0,99.0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,3885456400.0,0.0,105.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,9357737800.0,33060.0,117.0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,2540689800.0,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,4885162500.0,26372.0,126.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,9753307100.0,17514.0,127.0,Personal Auto,SUV,8.312729
YM50253,California,Femal,2946153700.0,89270.0,74.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,2581110900.0,29757.0,65.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,3517385800.0,51814.0,92.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,9743350100.0,24028.0,82.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,3873647000.0,28142.0,105.0,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,7649282000.0,52705.0,64.0,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,2287596900.0,0.0,63.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,8255763900.0,54040.0,103.0,Personal Auto,SUV,59.987126
YL74911,California,F,8714922100.0,0.0,118.0,Personal Auto,SUV,566.4
GK92563,Washington,F,6819231200.0,22492.0,85.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,7416197300.0,0.0,77.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,7771159000.0,21876.0,68.0,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,6968341900.0,0.0,69.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,4250282600.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,19776566500.0,70699.0,82.0,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,21343466000.0,0.0,74.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,2413139700.0,27501.0,63.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,15363847200.0,15897.0,101.0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,8456961900.0,25141.0,73.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,2189642500.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,5780182200.0,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,4639981600.0,28358.0,117.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,3824431300.0,62530.0,95.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,5968118900.0,90972.0,74.0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,8590335000.0,63110.0,72.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,4076634700.0,29549.0,104.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,12252601800.0,0.0,115.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,16936271500.0,39411.0,217.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,4892435500.0,21709.0,62.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,9942304800.0,67890.0,85.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,3735838100.0,0.0,110.0,Personal Auto,SUV,792.0
OZ97704,California,F,13117522200.0,84311.0,111.0,Personal Auto,SUV,532.8
UF46533,California,F,4574524100.0,99316.0,114.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,5470060600.000001,54507.0,138.0,Personal Auto,SUV,702.990032
GK73582,California,F,2978845999.9999995,64586.0,76.0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,6410967500.0,61709.0,82.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,4479023100.0,94656.0,111.0,Special Auto,SUV,459.738128
XK33449,California,F,2383731900.0,0.0,69.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,2764493700.0,61085.0,70.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,7920105400.0,89284.0,67.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,6889098000.0,0.0,63.0,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,3274194600.0000005,31686.0,81.0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,9951707700.0,56855.0,255.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,2521555700.0,53703.0,67.0,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,23706113400.0,0.0,96.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,6047025200.0,20396.0,76.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,11140302500.0,27679.0,150.0,Personal Auto,SUV,722.486994
RV14138,Nevada,F,4334064100.0,23904.0,123.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,2799747899.9999995,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,7923136600.0,0.0,113.0,Personal Auto,SUV,1124.427734
FL34139,California,M,3688110900.0,0.0,63.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,12067456000.000002,0.0,116.0,Personal Auto,SUV,1284.093173
XX12304,California,F,2924976700.0,64459.0,72.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,15014092700.0,32961.0,190.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,9277233800.0,71416.0,116.0,Corporate Auto,SUV,556.8
BG76355,WA,F,6274123900.0,68964.0,78.0,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,3886647400.0,78108.0,98.0,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,4386277600.0,10621.0,67.0,Special Auto,Four-Door Car,321.6
KX54357,WA,M,11365267700.0,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,5610964300.000001,77493.0,70.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,2912892000.0,81097.0,74.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,6915729900.0,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,6262663299.999999,30110.0,159.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,6503396999.999999,22081.0,84.0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,8007399400.0,0.0,112.0,Personal Auto,Sports Car,537.6
CO44221,Cali,M,2929916500.0000005,98473.0,72.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,5969553000.000001,97431.0,74.0,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,5473159900.0,93870.0,69.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,5645396700.000001,50366.0,72.0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,6369262400.0,34498.0,83.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,11833767300.0,16552.0,103.0,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,6121107900.0,26787.0,77.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,5159369700.0,0.0,74.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,2514592000.0,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,8668611300.0,21474.0,114.0,Corporate Auto,SUV,373.428187
WU14435,Cali,M,4960965400.0,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,5504139000.0,0.0,73.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,7507455400.0,60920.0,64.0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,32269851400.0,41520.0,90.0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Femal,5657031600.0,0.0,152.0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,5061757900.0,0.0,68.0,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,5912783800.0,72208.0,73.0,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,15182279800.0,53863.0,63.0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,10747030900.000002,66446.0,136.0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,2050623500.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,2465444900.0,64997.0,63.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,5343121300.0,64460.0,66.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,8119829100.0,46618.0,67.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,4605265200.0,0.0,64.0,Corporate Auto,Four-Door Car,307.2
HP36979,Cali,Male,6408785600.000001,49988.0,84.0,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,2376533500.0,0.0,91.0,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,3211070000.0,16269.0,86.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,5094522300.0,72006.0,64.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,25755278199.999996,0.0,81.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,8672229700.0,0.0,245.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,8044730700.0,44320.0,67.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,4001519100.0,19782.0,108.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,16706117000.0,63933.0,70.0,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,8544411100.0,28224.0,109.0,Personal Auto,SUV,523.2
OD76309,WA,F,7805312900.0,21073.0,106.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,6112756899.999999,63243.0,77.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,4772943800.0,20993.0,133.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,10979095600.0,94827.0,135.0,Personal Auto,SUV,354.729129
CF15558,Cali,F,5004263800.0,39161.0,63.0,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,13223043799.999998,37534.0,84.0,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,2623315399.9999995,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176
QX45933,Cali,M,17840195600.0,0.0,62.0,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,5106111800.0,30110.0,64.0,Personal Auto,Four-Door Car,140.165035
JU93290,Arizona,F,17930604500.0,21708.0,68.0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,5457342600.0,94731.0,67.0,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,6563644100.0,32375.0,83.0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,4812525200.0,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,29328041900.0,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289
XW90265,Arizona,F,5773520699.999999,81676.0,72.0,Personal Auto,Two-Door Car,463.158502
HS67749,Cali,M,6847118900.0,71038.0,86.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,3595312900.0,0.0,103.0,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,22855612100.0,20832.0,65.0,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,7859414600.0,0.0,113.0,Personal Auto,SUV,813.6
AZ74055,Oregon,M,4115577400.0,52405.0,103.0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,5029638800.0,0.0,133.0,Personal Auto,Sports Car,795.864079
AY40674,WA,F,4821418500.0,26583.0,1005.0,Personal Auto,SUV,614.4
NA12740,Oregon,M,5004310500.0,25486.0,65.0,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,8630053900.0,24065.0,111.0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,9322085100.0,70435.0,116.0,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,16727560600.0,0.0,76.0,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,3652532400.0,39679.0,92.0,Personal Auto,Two-Door Car,641.388616
UO98052,Nevada,M,6158601200.0,0.0,89.0,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,4376084000.0,0.0,69.0,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,5569456200.0,53565.0,71.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,2576513000.0,37574.0,66.0,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,8346983200.0,48259.0,108.0,Personal Auto,Two-Door Car,73.700573
NT89061,Arizona,F,6323923900.0,78532.0,78.0,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,5973143400.0,96163.0,73.0,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,4706677000.0,0.0,72.0,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,8093410300.0,0.0,114.0,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,5035744600.0,72672.0,63.0,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,9027867200.0,99002.0,112.0,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,7288884800.0,79494.0,91.0,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,18042479400.0,35704.0,225.0,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,4992063000.0,0.0,71.0,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,9102267800.0,26049.0,118.0,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,2540407700.0,70125.0,64.0,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,12941891900.0,52369.0,110.0,Personal Auto,SUV,528.0
MF82000,WA,female,2365348600.0,0.0,66.0,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,5720765100.0,41770.0,72.0,Personal Auto,Four-Door Car,476.156957
SY56792,Oregon,Male,7035534100.0,0.0,101.0,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,2636977700.0,31911.0,67.0,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,5395831999.999999,70051.0,68.0,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,8382630100.0,19683.0,117.0,Personal Auto,Sports Car,561.6
